,title,price,link
0,"Acer Aspire Lite 12th Gen Intel Core i7-1255U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","54,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNDgzNDY5OTEyNTQ4MTkwOjE3MjA1NDM5MTQ6c3BfYXRmOjMwMDE3OTQ3ODc3NzUzMjo6MDo6&url=%2FAcer-i7-1255U-Premium-Windows-AL15-52%2Fdp%2FB0D262KC1J%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1KDYI612DEZCU%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TMpuecSesXxO13ir63QBGp-EkJK7CNoj2q_kHhW2puTiu2Zi2mrRg3ZyVIKMyj7hRd8O49t0dmfMWqMHv7awpjvRTwgEGaYKEFs_Z0Qma-ceTNXZbK-IYmqKzQieKY3XujvMXIV5MnJZs_BIwv3UJ9RgBojsOqkGlVYu6b-yUG3X3fzdY8e6LYqrShZMpmLADwHaggkpOqH39femdCmgF4k.BIbh5_CU1n_X_14ZgxFCDOS2_3SHKXIgmQwwfVLTBhM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720543913%26sprefix%3Dlaptop%252Caps%252C322%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 16â€‘core CPU and 40â€‘core GPU, 48GB Unified Memory, 1TB) - Space Black  ","3,79,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNDgzNDY5OTEyNTQ4MTkwOjE3MjA1NDM5MTQ6c3BfYXRmOjMwMDA4NTQwMzIxODczMjo6MDo6&url=%2FApple-MacBook-16-inch-16%25E2%2580%2591core-40%25E2%2580%2591core%2Fdp%2FB0CM5SZ7CP%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1KDYI612DEZCU%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TMpuecSesXxO13ir63QBGp-EkJK7CNoj2q_kHhW2puTiu2Zi2mrRg3ZyVIKMyj7hRd8O49t0dmfMWqMHv7awpjvRTwgEGaYKEFs_Z0Qma-ceTNXZbK-IYmqKzQieKY3XujvMXIV5MnJZs_BIwv3UJ9RgBojsOqkGlVYu6b-yUG3X3fzdY8e6LYqrShZMpmLADwHaggkpOqH39femdCmgF4k.BIbh5_CU1n_X_14ZgxFCDOS2_3SHKXIgmQwwfVLTBhM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720543913%26sprefix%3Dlaptop%252Caps%252C322%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN  ","25,990",https://amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V6009LIN/dp/B0D6Z2H2HR/ref=sr_1_6?crid=1KDYI612DEZCU&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TMpuecSesXxO13ir63QBGp-EkJK7CNoj2q_kHhW2puTiu2Zi2mrRg3ZyVIKMyj7hRd8O49t0dmfMWqMHv7awpjvRTwgEGaYKEFs_Z0Qma-ceTNXZbK-IYmqKzQieKY3XujvMXIV5MnJZs_BIwv3UJ9RgBojsOqkGlVYu6b-yUG3X3fzdY8e6LYqrShZMpmLADwHaggkpOqH39femdCmgF4k.BIbh5_CU1n_X_14ZgxFCDOS2_3SHKXIgmQwwfVLTBhM&dib_tag=se&keywords=laptop&qid=1720543913&sprefix=laptop%2Caps%2C322&sr=8-6
3,"(Refurbished) HP C640 10th Gen Intel Core i5 Thin & Light Touchscreen FHD Laptop (8 GB DDR4 RAM | 64 GB eMMC + 256 GB MicroSD Card | 14"" (35.6 cm) FHD | Windows 11 | WiFi | Bluetooth | Intel Graphics)  ","21,980",https://amazon.in//Refurbished-HP-Touchscreen-Bluetooth-Graphics/dp/B0CX1LMLGH/ref=sr_1_72?crid=1KDYI612DEZCU&dib=eyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs&dib_tag=se&keywords=laptop&qid=1720543948&sprefix=laptop%2Caps%2C322&sr=8-72
4,"HP 15s-Ryzen 3 3250U 8GB SDRAM/256GB SSD 15.6inch(39.6cm) HD, Micro-Edge Laptop/AMD Radeon Graphics/Dual Speakers/Win 11 Home/MS Office/Fast Charge/Jet Black/1.69Kg, 15s-ey1508AU  ","27,990",https://amazon.in//HP-15s-Ryzen-15-6inch-Micro-Edge-15s-ey1508AU/dp/B0BJ2LZXD9/ref=sr_1_73?crid=1KDYI612DEZCU&dib=eyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs&dib_tag=se&keywords=laptop&qid=1720543948&sprefix=laptop%2Caps%2C322&sr=8-73
5,"HP Victus Gaming Laptop, AMD Ryzen 5 5600H, AMD 4GB Radeon RX 6500M Graphics, 15.6-inch (39.6 cm), FHD, IPS, 8GB DDR4, 512GB SSD, Backlit KB, B&O (Win 11, Blue, 2.29 kg), fb0147AX  ","48,990",https://amazon.in//HP-Graphics-15-6-inch-Backlit-fb0147AX/dp/B0C946F286/ref=sr_1_74?crid=1KDYI612DEZCU&dib=eyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs&dib_tag=se&keywords=laptop&qid=1720543948&sprefix=laptop%2Caps%2C322&sr=8-74
6,"Lenovo IdeaPad Pro 5 Intel Core Ultra 7 155H Built-in AI 16"" (40.6cm) 2K OLED 400Nits 120Hz Laptop (16GB/1TB SSD/NVIDIA RTX 3050 6GB/Win11/MSO 21/FHD+IR Camera/3Mon GamePass/Grey/1.9Kg), 83D4002NIN  ","1,23,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4OTM3MzA0ODg1NDQxOTA6MTcyMDU0Mzk0ODpzcF9tdGY6MzAwMTY2ODc3NzkzODMyOjowOjo&url=%2FLenovo-IdeaPad-400Nits-GamePass-83D4002NIN%2Fdp%2FB0CTK42DSN%2Fref%3Dsr_1_75_sspa%3Fcrid%3D1KDYI612DEZCU%26dib%3DeyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720543948%26sprefix%3Dlaptop%252Caps%252C322%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
7,"Dell Alienware M16 R2 Windows 11 Home Gaming Laptop,Intel Core Ultra 7 155H,16Gb,1Tb Ssd,Nvidia RTX 4050,6 Gb Gddr6,16 (40.6Cm) Qhd+ 240Hz,Nvidia G-Sync +,Alienfx RGB Backlit Kb,Dark Metallic,2.61Kg  ","1,54,190",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4OTM3MzA0ODg1NDQxOTA6MTcyMDU0Mzk0ODpzcF9tdGY6MzAwMTY2ODc3NzkzNzMyOjowOjo&url=%2FDell-Alienware-Windows-Alienfx-Metallic%2Fdp%2FB0CYLYCZJZ%2Fref%3Dsr_1_76_sspa%3Fcrid%3D1KDYI612DEZCU%26dib%3DeyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720543948%26sprefix%3Dlaptop%252Caps%252C322%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
8,"HP Laptop 14, IntelÂ® Coreâ„¢ i3-1215U, 14-inch(35.6 cm), FHD,8GB DDR4,512GB SSD,MSO,Dual speakers,Win 11,Silver, 1.46 kg,14s-dq5138TU  ","38,490",https://amazon.in//HP-i3-1215U-14-inch-speakers-14s-dq5138TU/dp/B0CXMX4NJ2/ref=sr_1_77?crid=1KDYI612DEZCU&dib=eyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs&dib_tag=se&keywords=laptop&qid=1720543948&sprefix=laptop%2Caps%2C322&sr=8-77
9,"ASUS Vivobook 14 Thin and Light Laptop, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS  ","37,990",https://amazon.in//ASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK321WS/dp/B0CCP9PH92/ref=sr_1_78?crid=1KDYI612DEZCU&dib=eyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs&dib_tag=se&keywords=laptop&qid=1720543948&sprefix=laptop%2Caps%2C322&sr=8-78
